Time;Mode;State;Warning 1;Warning 2;Longitude;Latitude;Heading;Speed;LGamma Dose rate (?Sv/h);LGamma BKG dose rate (?Sv/h);LGamma (cps);LGamma Bkg (cps);Neutron (cps);Neutron Bkg (cps);High range;HGamma filtered (cps);HGamma filtered Dose rate (?Sv/h);Ext (cps);Event #;Acq state;Live time (s);Temperature(C);Dose (?Sv);MCA Satured;ID 01;CL 01;ID 02;CL 02;ID 03;CL 03;ID 04;CL 04;ID 05;CL 05;ID 06;CL 06;ID 07;CL 07;ID 08;CL 08;
2017-05-30 14:46:58.902;Source Search;Background;Stored gain;;--;--;--;--;0.132;0.034;529.5;336.5;0;0;False;2.3;0.367;--;;Slidding;5.858;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:59.333;Source Search;Background;Stored gain;;--;--;--;--;0.131;0.036;535.7;343.6;0;0;False;0;0.293;--;;Slidding;5.925;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:59.813;Source Search;Background;Stored gain;;--;--;--;--;0.143;0.038;563.8;352.9;0;0;False;0;0.235;--;;Slidding;5.524;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:47:00.237;Source Search;Background;Stored gain;;--;--;--;--;0.13;0.04;549.1;357.9;0;0;False;2.1;0.438;--;;Slidding;5.493;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:47:00.753;Source Search;Background;Stored gain;;--;--;--;--;0.134;0.042;532.3;362;0;0;False;0;0.35;--;;Slidding;5.630;26.94;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:47:01.716;Source Search;Background;Stored gain;;--;--;--;--;0.132;0.043;532.7;367.1;0;0;False;0;0.28;--;;Slidding;5.054;26.94;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:47:18.107;Source Search;Alarm;Stored gain;;--;--;--;--;0.129;0.045;528.2;371.4;0;0;False;0.3;0.253;--;8;BKG;15.967;27.44;0.001;False;88 keV;9;;;;;;;;;;;;;;;
2017-05-30 14:47:19.384;Source Search;Alarm;T? change;;--;--;--;--;0.126;0.047;526.6;375.6;0;0;False;0.6;0.273;--;8;BKG;17.652;27.44;0.001;False;89 keV;9;;;;;;;;;;;;;;;
2017-05-30 14:47:20.228;Source Search;Alarm;T? change;;--;--;--;--;0.12;0.048;525.3;379.5;0;0;False;0;0.218;--;8;BKG;18.508;27.44;0.001;False;89 keV;9;;;;;;;;;;;;;;;
2017-05-30 14:47:21.121;Source Search;Alarm;T? change;;--;--;--;--;0.115;0.049;517.9;382.7;0;0;False;0;0.174;--;8;BKG;19.295;27.44;0.001;False;89 keV;9;;;;;;;;;;;;;;;
2017-05-30 14:47:23.234;Source Search;Alarm;T? change;;--;--;--;--;0.112;0.05;510.8;385.6;0;0;False;0;0.14;--;8;BKG;20.173;27.44;0.001;False;89 keV;9;;;;;;;;;;;;;;;
2017-05-30 14:47:24.400;Source Search;Alarm;T? change;;--;--;--;--;0.109;0.051;500.4;387.9;0;0;False;0.5;0.167;--;8;BKG;22.298;27.44;0.001;False;91 keV;9;;;;;;;;;;;;;;;
2017-05-30 14:47:25.214;Source Search;Alarm;T? change;;--;--;--;--;0.11;0.052;497;390.3;0;0;False;0;0.134;--;8;BKG;23.474;27.44;0.001;False;91 keV;9;;;;;;;;;;;;;;;
2017-05-30 14:47:26.003;Source Search;Alarm;T? change;;--;--;--;--;0.11;0.053;517.9;394.5;0;0;False;0;0.107;--;8;BKG;24.263;27.44;0.001;False;90 keV;9;;;;;;;;;;;;;;;
2017-05-30 14:47:26.802;Source Search;Alarm;T? change;;--;--;--;--;0.115;0.055;505.5;396.4;0;0;False;0;0.086;--;8;BKG;25.056;27.44;0.001;False;90 keV;9;;;;;;;;;;;;;;;
2017-05-30 14:47:27.606;Source Search;Alarm;T? change;;--;--;--;--;0.114;0.056;502;398.6;0;0;False;0;0.068;--;8;BKG;25.854;27.44;0.001;False;91 keV;9;;;;;;;;;;;;;;;
2017-05-30 14:47:28.419;Source Search;Alarm;T? change;;--;--;--;--;0.119;0.057;512.4;401.7;0;0;False;0;0.055;--;8;BKG;26.657;27.69;0.001;False;90 keV;9;;;;;;;;;;;;;;;
2017-05-30 14:47:29.512;Source Search;Alarm;T? change;;--;--;--;--;0.127;0.059;519.1;404.6;0;0;False;1.2;0.187;--;8;BKG;27.480;27.69;0.001;False;91 keV;9;;;;;;;;;;;;;;;
2017-05-30 14:47:29.928;Source Search;Alarm;T? change;;--;--;--;--;0.13;0.061;528.4;407.7;0;0;False;0;0.149;--;8;BKG;28.207;27.69;0.001;False;92 keV;9;;;;;;;;;;;;;;;
2017-05-30 14:47:30.429;Source Search;Alarm;T? change;;--;--;--;--;0.122;0.062;521.7;409.7;0;0;False;0;0.12;--;8;BKG;28.707;27.69;0.001;False;93 keV;9;;;;;;;;;;;;;;;
2017-05-30 14:47:30.865;Source Search;Alarm;T? change;;--;--;--;--;0.129;0.063;543.4;413.5;0;0;False;0;0.096;--;8;BKG;29.121;27.69;0.001;False;93 keV;9;;;;;;;;;;;;;;;
2017-05-30 14:47:31.358;Source Search;Alarm;T? change;;--;--;--;--;0.13;0.065;514.3;414.2;0;0;False;0;0.076;--;8;BKG;29.614;27.69;0.001;False;92 keV;9;;;;;;;;;;;;;;;
2017-05-30 14:47:32.407;Source Search;Alarm;T? change;;--;--;--;--;0.132;0.065;532.7;414.2;0;0;False;1;0.173;--;8;BKG;30.665;27.69;0.001;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:32.966;Source Search;Alarm;T? change;;--;--;--;--;0.136;0.065;526.8;414.2;0;0;False;0;0.139;--;8;BKG;31.164;27.69;0.001;False;93 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:33.533;Source Search;Alarm;T? change;;--;--;--;--;0.141;0.065;546.2;414.2;0;0;False;0;0.111;--;8;BKG;31.651;27.69;0.001;False;94 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:34.134;Source Search;Alarm;T? change;;--;--;--;--;0.141;0.065;572.1;414.2;0;0;False;0;0.089;--;8;BKG;32.217;27.69;0.001;False;94 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:34.577;Source Search;Alarm;T? change;;--;--;--;--;0.151;0.065;584.9;414.2;0;0;False;1.7;0.268;--;8;BKG;32.814;27.69;0.001;False;93 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:35.049;Source Search;Alarm;T? change;;--;--;--;--;0.148;0.065;567.2;414.2;0;0;False;2;0.45;--;8;BKG;33.314;27.69;0.002;False;93 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:35.503;Source Search;Alarm;T? change;;--;--;--;--;0.15;0.065;561.2;414.2;0;0;False;0;0.36;--;8;BKG;33.758;27.69;0.002;False;93 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:36.061;Source Search;Alarm;T? change;;--;--;--;--;0.146;0.065;568.3;414.2;0;0;False;0;0.288;--;8;BKG;34.230;27.69;0.002;False;92 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:36.699;Source Search;Alarm;T? change;;--;--;--;--;0.14;0.065;567.5;414.2;0;0;False;2;0.46;--;8;BKG;34.741;27.69;0.002;False;93 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:37.145;Source Search;Alarm;T? change;;--;--;--;--;0.137;0.065;582.9;414.2;0;0;False;0;0.368;--;8;BKG;35.376;27.69;0.002;False;93 keV;7;;;;;;;;;;;;;;;
2017-05-30 14:47:37.960;Source Search;Alarm;T? change;;--;--;--;--;0.141;0.065;593;414.2;0;0;False;1.2;0.439;--;8;BKG;36.190;27.69;0.002;False;94 keV;7;;;;;;;;;;;;;;;
